组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
84	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
85	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
86	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
87	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
88	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
89	|	对乙酰氨基酚1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
90	|	对乙酰氨基酚1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
91	|	对乙酰氨基酚1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
92	|	对乙酰氨基酚1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于正常代谢型，对乙酰氨基酚代谢正常。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
93	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
94	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
95	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
96	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
97	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
98	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
99	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
100	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
101	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-1	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ff0000	|		|		|	
	|	对乙酰氨基酚4-3	|	#ff0000	|		|		|	
102	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
103	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
104	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
105	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
106	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
107	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
108	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
109	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
110	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-2	|	#ff0000	|		|		|	
	|	对乙酰氨基酚3-3	|	#ff0000	|		|		|	
	|	对乙酰氨基酚4-3	|	#ff0000	|		|		|	
111	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
112	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
113	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
114	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
115	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
116	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
117	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
118	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
119	|	对乙酰氨基酚1-2	|	#ff0000	|	换药	|	#ff0000	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于快代谢型，对乙酰氨基酚代谢快，体内有效浓度低，肝毒性风险高。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险高。综上，请遵医嘱换用其他药物。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ff0000	|		|		|	
	|	对乙酰氨基酚4-3	|	#ff0000	|		|		|	
120	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
121	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
122	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
123	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
124	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
125	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
126	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
127	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
128	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
129	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
130	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
131	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
132	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
133	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
134	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
135	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
